Name of Project,Description
Decentralized POS,"
Create a decentralized POS system! Traditional POS systems have multiple financial intermediaries that charge fees and take a long time to settle funds. Merchants can save money and time by using a decentralized POS system. With the saved money, they can also lend it out on lending dapps. That's money saved and earned!"
spanstream,"The idea is to couple streaming music with streaming crypto, so that fair value is immediately delivered musicians when someone streams their music. "
Billboard renting,"The NFT platform uses an ERC721 contract integrated with SuperFluid protocol to allow users to rent and pay in realtime for NFTs.
In the meantime the NFT is rented, the user that rented it can use it, but can't transfer it. Only when the renting is over and the NFT comes back to its owner, the NFT can be transfered again"
Easy sales commissions,"
Can automatically stream payments out to sales people based on predetermined and agreed upon targets"
social coins,"
Content sharing platform centered around Fantasy Sports and Betting. Stock market of ""Creator Coins"" of people who provide analysis. Funds used to purchase creator coins will be lent out using Compound and interest accrued gets streamed to the creator's wallet. Creator coins have utility purposes for owners by means of access to content, projections or exclusive rewards. "
Creative Platform,Stream royalties for NFTs that its owner holds.
streamsurf,"
Streaming paywall for video live streaming. Basically, an Ethereum twitch clone where streamers can get paid, and surfers (viewers) can pay with DAI. "
Sharp-pay,"
Create a wallet UI for Smart Entities within our RealtyDAO network to stream daily revenues to our contributors and each entity.  "
"Savings, budgeting. ","
Throw money into account#1, initiate a stream from account#1 to account#2, throw away key to account#1. "
Micro invest,"
Micro investing into the crypto currency market for users "
Dark Mart,"A decentralized marketplace for businesses, consumers, content creators, and influencers to interact in a healthier and more efficient way. Content creators and influencers have the freedom to create and be compensated by companies and consumers based on real world impact of their campaigns. Businesses can gain a better understanding of the impact of their goods or services on consumers and consumers can have more freedom to choose which goods or services to consume based on their real social or societal impact. 
"
Streamdonate,"Make a streaming donation using a Superfluid stream, receive back a stream of $DONOR tokens. Spend your $DONOR tokens to redeem exclusive NFTs!"
Newsletter Subscriptions,Pay a subscription to access newsletter content! Build in social token rewards to increase participation and share revenue
Renting assest NFT Property,Get access to a Cryptovoxels property by renting the NFT with a stream of stablecoins
DeFlix - NFT Licensing for video content,"A platform where users pay in streams to watch video content. Each piece of content is itself an NFT, giving the holder the rights to all incoming payments."
Hurricare - Streaming insurance,"Pay for insurance in a linear stream. If an oracle triggers an event, payouts are sent directly to anyone who is currently sending a stream"
Cashcow - Cashflow Factoring,"Enable businesses to sell their top-line revenue as an NFT for a pre-defined period of time. Incoming streams are sent automatically to NFT holders, who can re-sell it on the secondary market."
DRIP - NFT Referral links,"A marketplace for businesses to create NFT referral links. Referrals give a fixed % to whoever refers them. The links can be traded, as NFTs, giving the owner the referral income."
